Country,Death,Elevation,Location,Name,Type,VEI,Year
Indonesia,120,3142,Lesser Sunda Is,Agung,Stratovolcano,3,1963
Indonesia,1028,3142,Lesser Sunda Is,Agung,Stratovolcano,4,1963
Chile,25,2847,Chile-C,Villarrica,Stratovolcano,2,1964
Indonesia,1,875,Lesser Sunda Is,Paluweh,Stratovolcano,2,1964
Indonesia,114,2565,Java,Dieng Volc Complex,Complex volcano,1,1964
Philippines,355,400,Luzon-Philippines,Taal,Stratovolcano,4,1965
Indonesia,39,1320,Sangihe Is-Indonesia,Awu,Stratovolcano,4,1966
Indonesia,215,1731,Java,Kelut,Stratovolcano,4,1966
Solomon Is.,,851,Santa Cruz Is-SW Pac,Tinakula,Stratovolcano,3,1966
Tanzania,,2890,Africa-E,Lengai Ol Doinyo,Stratovolcano,4,1966
Tanzania,,2890,Africa-E,Lengai Ol Doinyo,Stratovolcano,4,1966
Antarctica,,576,Antarctica,Deception Island,Caldera,3,1967
Indonesia,3,3676,Java,Semeru,Stratovolcano,3,1967
Costa Rica,80,1657,Costa Rica,Arenal,Stratovolcano,3,1968
Philippines,6,2462,Luzon-Philippines,Mayon,Stratovolcano,3,1968
Indonesia,2,637,Lesser Sunda Is,Iya,Stratovolcano,3,1969
Indonesia,3,2947,Java,Merapi,Stratovolcano,2,1969
Japan,1,462,Honshu-Japan,Narugo,Caldera,,1969
Philippines,,244,Luzon-N of,Didicas,Compound volcano,2,1969
Iceland,,1491,Iceland-S,Hekla,Stratovolcano,3,1970
Italy,3,458,Italy,Campi Flegrei,Caldera,,1970
Chile,5,1905,Chile-S,Hudson,Stratovolcano,3,1971
Chile,15,2847,Chile-C,Villarrica,Stratovolcano,2,1971
Guatemala,10,3763,Guatemala,Fuego,Stratovolcano,3,1971
Japan,6,2176,Honshu-Japan,Kusatsu-Shirane,Stratovolcano,,1971
Solomon Is.,,851,Santa Cruz Is-SW Pac,Tinakula,Stratovolcano,2,1971
Spain,,2426,Canary Is,La Palma,Stratovolcano,2,1971
Japan,2,1438,Honshu-Japan,Hakone,Complex volcano,,1972
Papua New Guinea,,140,New Guinea-NE of,Ritter Island,Stratovolcano,1,1972
Reunion,3,2631,Indian O-W,Fournaise Piton de la,Shield volcano,2,1972
Chile,2,1905,Chile-S,Hudson Cerro,Stratovolcano,,1973
Iceland,1,279,Iceland-S,Vestmannaeyjar,Submarine volcano,3,1973
Indonesia,2,1018,Lesser Sunda Is,Iliwerung,Complex volcano,2,1973
Indonesia,,875,Lesser Sunda Is,Paluweh,Stratovolcano,3,1973
Guatemala,,3763,Guatemala,Fuego,Stratovolcano,4,1974
Indonesia,4,1784,Sangihe Is-Indonesia,Karangetang [Api Siau],Stratovolcano,3,1974
Indonesia,9,2947,Java,Merapi,Stratovolcano,2,1974
Japan,3,1117,Kyushu-Japan,Sakura-jima,Stratovolcano,3,1974
Japan,3,2400,Honshu-Japan,Niigata-Yake-yama,Lava dome,2,1974
Japan,5,1117,Kyushu-Japan,Sakura-jima,Stratovolcano,3,1974
Papua New Guinea,,140,New Guinea-NE of,Ritter Island,Stratovolcano,1,1974
Costa Rica,2,1657,Costa Rica,Arenal,Stratovolcano,3,1975
Indonesia,80,2891,Sumatra,Marapi,Complex volcano,2,1975
United States,,1222,Hawaiian Is,Kilauea,Shield volcano,0,1975
Ecuador,2,5230,Ecuador,Sangay,Stratovolcano,3,1976
Indonesia,1,1784,Sangihe Is-Indonesia,Karangetang [Api Siau],Stratovolcano,2,1976
Indonesia,29,2947,Java,Merapi,Stratovolcano,2,1976
Indonesia,119,3676,Java,Semeru,Stratovolcano,2,1976
Japan,3,2176,Honshu-Japan,Kusatsu-Shirane,Stratovolcano,,1976
Comoros,,2361,Indian O-W,Karthala,Shield volcano,0,1977
Congo DRC,,3470,Africa-C,Nyiragongo,Stratovolcano,1,1977
Iceland,,650,Iceland-NE,Krafla,Caldera,1,1977
Japan,3,731,Hokkaido-Japan,Usu,Stratovolcano,3,1977
Russia,1,4835,Kamchatka,Kliuchevskoi,Stratovolcano,3,1977
Guatemala,1,3772,Guatemala,Santa Maria,Stratovolcano,3,1978
Indonesia,3,2084,Java,Tangkubanparahu,Stratovolcano,,1978
Indonesia,12,3676,Java,Semeru,Stratovolcano,3,1978
Japan,3,731,Hokkaido-Japan,Usu,Stratovolcano,3,1978
Philippines,,1565,Luzon-Philippines,Bulusan,Stratovolcano,2,1978
Indonesia,149,2565,Java,Dieng Volc Complex,Complex volcano,1,1979
Indonesia,,1018,Lesser Sunda Is,Iliwerung,Complex volcano,0,1979
Italy,9,3350,Italy,Etna,Stratovolcano,2,1979
Japan,3,1592,Kyushu-Japan,Aso,Caldera,2,1979
Papua New Guinea,2,1839,New Guinea-NE of,Karkar,Stratovolcano,2,1979
St. Vincent & the Grenadines,2,1220,W Indies,Soufriere St. Vincent,Stratovolcano,3,1979
Iceland,,1491,Iceland-S,Hekla,Stratovolcano,3,1980
United States,1,3426,US-Oregon,Hood,Stratovolcano,,1980
United States,57,2549,US-Washington,St. Helens,Stratovolcano,5,1980
Indonesia,1,3676,Java,Semeru,Stratovolcano,3,1981
Indonesia,372,3676,Java,Semeru,Stratovolcano,3,1981
Indonesia,,875,Lesser Sunda Is,Paluweh,Stratovolcano,2,1981
Italy,,3350,Italy,Etna,Stratovolcano,2,1981
Philippines,200,2462,Luzon-Philippines,Mayon,Stratovolcano,,1981
Russia,,2173,Kamchatka,Vilyuchik,Stratovolcano,,1981
Russia,,2339,Kuril Is,Alaid,Stratovolcano,2,1981
Indonesia,68,2168,Java,Galunggung,Stratovolcano,4,1982
Mexico,1,1150,Mexico,Chichon, El Tuff cone,5,1982
Mexico,33,1150,Mexico,Chichon, El Tuff cone,5,1982
Mexico,1879,1150,Mexico,Chichon, El Tuff cone,5,1982
Indonesia,,507,Sulawesi-Indonesia,Colo [Una Una],Stratovolcano,4,1983
Indonesia,,1018,Lesser Sunda Is,Iliwerung,Complex volcano,1,1983
Japan,,815,Izu Is-Japan,Miyake-jima,Stratovolcano,3,1983
Russia,1,4835,Kamchatka,Kliuchevskoi,Stratovolcano,2,1983
Cameroon,37,3011,Africa-W,Oku Volc Field,Maar,,1984
Italy,1,3350,Italy,Etna,Stratovolcano,3,1984
Japan,29,3063,Honshu-Japan,On-take,Complex volcano,,1984
Philippines,1,2462,Luzon-Philippines,Mayon,Stratovolcano,3,1984
Colombia,23080,5321,Colombia,Ruiz,Stratovolcano,3,1985
Indonesia,70,3676,Java,Semeru,Stratovolcano,3,1985
Italy,1,3350,Italy,Etna,Stratovolcano,1,1985
Cameroon,1700,3011,Africa-W,Oku Volc Field,Maar,3,1986
Indonesia,1,2947,Java,Merapi,Stratovolcano,2,1986
Italy,1,926,Italy,Stromboli,Stratovolcano,2,1986
Japan,1,758,Izu Is-Japan,Oshima,Stratovolcano,3,1986
Japan,1,1366,Honshu-Japan,Akita-Yake-yama,Complex volcano,,1986
Guatemala,,2552,Guatemala,Pacaya,Complex volcano,3,1987
Indonesia,,862,Lesser Sunda Is,Sirung,Complex volcano,,1987
Italy,2,3350,Italy,Etna,Stratovolcano,2,1987
Chile,1,2865,Chile-C,Lonquimay,Stratovolcano,3,1988
Costa Rica,1,1657,Costa Rica,Arenal,Stratovolcano,3,1988
Indonesia,1,3676,Java,Semeru,Stratovolcano,3,1988
Japan,3,1366,Honshu-Japan,Akita-Yake-yama,Complex volcano,,1988
Pacific Ocean,4,640,Banda Sea,Banda Api,Caldera,3,1988
Japan,1,1592,Kyushu-Japan,Aso,Caldera,,1989
Japan,2,1700,Kyushu-Japan,Kirishima,Shield volcano,,1989
Congo DRC,1,3470,Afric-C,Nyiragongo,Stratovolcano,,1990
Guatemala,4,3772,Guatemala,Santa Maria,Stratovolcano,3,1990
Indonesia,4,1731,Java,Kelut,Stratovolcano,,1990
Indonesia,32,1731,Java,Kelut,Stratovolcano,4,1990
Japan,1,1592,Kyushu-Japan,Aso,Caldera,2,1990
Japan,1,1592,Kyushu-Japan,Aso,Caldera,2,1990
Japan,1,1592,Kyushu-Japan,Aso,Caldera,2,1990
Papua New Guinea,6,688,New Britain-SW Pac,Rabaul,Pyroclastic shield,,1990
Peru,,5967,Peru,Sabancaya,Stratovolcano,3,1990
Russia,,3283,Kamchatka,Shiveluch,Stratovolcano,3,1990
Chile,,1905,Chile-S,Hudson Cerro,Stratovolcano,5,1991
Comoros,,2361,Indian O-W,Karthala,Shield volcano,2,1991
Indonesia,1,1580,Sulawesi-Indonesia,Lokon-Empung,Stratovolcano,1,1991
Italy,,3350,Italy,Etna,Stratovolcano,2,1991
Japan,43,1500,Kyushu-Japan,Unzen,Complex volcano,1,1991
Philippines,450,1486,Luzon-Philippines,Pinatubo,Stratovolcano,6,1991
Russia,1,2322,Kamchatka,Mutnovsky,Complex volcano,,1991
Indonesia,1,2565,Java,Dieng Volc Complex,Complex volcano,,1992
Indonesia,1,2891,Sumatra,Marapi,Complex volcano,2,1992
Indonesia,2,1784,Sangihe Is-Indonesia,Karangetang [Api Siau],Stratovolcano,2,1992
Indonesia,3,3676,Java,Semeru,Stratovolcano,3,1992
Indonesia,6,1784,Sangihe Is-Indonesia,Karangetang [Api Siau],Stratovolcano,1,1992
Nicaragua,11,728,Nicaragua,Negro, Cerro Cinder cone,3,1992
Philippines,6,1486,Luzon-Philippines,Pinatubo,Stratovolcano,1,1992
United States,,3374,Alaska-SW,Spurr,Stratovolcano,3,1992
Colombia,9,4276,Colombia,Galeras,Complex volcano,2,1993
Ecuador,2,4784,Ecuador,Guagua Pichincha,Stratovolcano,1,1993
Indonesia,1,813,Indonesia,Krakatau,Caldera,1,1993
Indonesia,1,868,Banda Sea,Wurlali,Stratovolcano,,1993
Japan,1,1500,Kyushu-Japan,Unzen,Complex volcano,1,1993
Philippines,4,1486,Luzon-Philippines,Pinatubo,Stratovolcano,1,1993
Philippines,14,1486,Luzon-Philippines,Pinatubo,Stratovolcano,,1993
Philippines,75,2462,Luzon-Philippines,Mayon,Stratovolcano,2,1993
United States,1,1222,Hawaiian Is,Kilauea,Shield volcano,,1993
Colombia,,5365,Colombia,Huila,Stratovolcano,,1994
Indonesia,6,3676,Java,Semeru,Stratovolcano,3,1994
Indonesia,31,3726,Lesser Sunda Is,Rinjani,Stratovolcano,3,1994
Indonesia,60,2947,Java,Merapi,Stratovolcano,3,1994
Japan,1,1592,Kyushu-Japan,Aso,Caldera,1,1994
Papua New Guinea,4,688,New Britain-SW Pac,Rabaul,Pyroclastic shield,3,1994
Vanuatu,1,361,Vanuatu-SW Pacific,Yasur,Stratovolcano,3,1994
Cape Verde,,2829,Cape Verde Is,Fogo,Stratovolcano,2,1995
Guatemala,1,2552,Guatemala,Pacaya,Complex volcano,3,1995
Indonesia,1,1640,Lesser Sunda Is,Kelimutu,Complex volcano,,1995
Japan,4,2455,Honshu-Japan,Yake-dake,Stratovolcano,1,1995
Philippines,60,1824,Mindanao-Philippines,Parker,Stratovolcano,,1995
Vanuatu,2,361,Vanuatu-SW Pacific,Yasur,Stratovolcano,3,1995
Iceland,,1725,Iceland-NE,Grimsvotn,Caldera,3,1996
Mexico,5,5426,Mexico,Popocatepetl,Stratovolcano,3,1996
Nicaragua,6,1394,Nicaragua,Maderas,Stratovolcano,,1996
Papua New Guinea,13,1807,New Guinea-NE of,Manam,Stratovolcano,3,1996
Philippines,3,2435,Philippines-C,Kanlaon,Stratovolcano,2,1996
Russia,,1536,Kamchatka,Karymsky,Stratovolcano,2,1996
Indonesia,2,3676,Java,Semeru,Stratovolcano,3,1997
Indonesia,3,1784,Sangihe Is-Indonesia,Karangetang [Api Siau],Stratovolcano,1,1997
Indonesia,6,2947,Java,Merapi,Stratovolcano,2,1997
Japan,2,1592,Kyushu-Japan,Aso,Caldera,,1997
Japan,3,1585,Honshu-Japan,Hakkoda Group,Stratovolcano,,1997
Japan,4,1718,Honshu-Japan,Adatara,Stratovolcano,,1997
Montserrat,2,915,W Indies,Soufriere Hills,Stratovolcano,3,1997
Montserrat,22,915,W Indies,Soufriere Hills,Stratovolcano,3,1997
Montserrat,,915,W Indies,Soufriere Hills,Stratovolcano,,1997
Indonesia,10,1731,Java,Kelut,Stratovolcano,,1998
Nicaragua,1620,1745,Nicaragua,San Cristobal,Stratovolcano,,1998
United States,1,1222,Hawaiian Is,Kilauea,Shield volcano,,1998
Ecuador,1,5023,Ecuador,Tungurahua,Stratovolcano,3,1999
Ecuador,2,4784,Ecuador,Guagua Pichincha,Stratovolcano,3,1999
Guatemala,,3763,Guatemala,Fuego,Stratovolcano,2,1999
Montserrat,,915,W Indies,Soufriere Hills,Stratovolcano,3,1999
Russia,,3283,Kamchatka,Shiveluch,Stratovolcano,4,1999
Costa Rica,2,1657,Costa Rica,Arenal,Stratovolcano,3,2000
Indonesia,1,2947,Java,Merapi,Stratovolcano,2,2000
Indonesia,2,3676,Java,Semeru,Stratovolcano,3,2000
Japan,,815,Izu Is-Japan,Miyake-jima,Stratovolcano,2,2000
United States,2,1222,Hawaiian Is,Kilauea,Shield volcano,,2000
Indonesia,2,2947,Java,Merapi,Stratovolcano,2,2001
Italy,1,926,Italy,Stromboli,Stratovolcano,2,2001
Italy,1,3350,Italy,Etna,Stratovolcano,3,2001
Italy,,3350,Italy,Etna,Stratovolcano,2,2001
Congo DRC,100,3470,Africa-C,Nyiragongo,Stratovolcano,1,2002
Ecuador,,3562,Ecuador,Reventador,Stratovolcano,4,2002
Indonesia,3,3676,Java,Semeru,Stratovolcano,3,2002
Indonesia,,1784,Sangihe Is-Indonesia,Karangetang [Api Siau],Stratovolcano,3,2002
Italy,,926,Italy,Stromboli,Stratovolcano,,2002
Italy,,3350,Italy,Etna,Stratovolcano,3,2002
Montserrat,,915,W Indies,Soufriere Hills,Stratovolcano,3,2003
Indonesia,1,1703,Lesser Sunda Is,Egon,Stratovolcano,1,2004
Indonesia,2,2329,Java,Tengger Caldera,Stratovolcano,2,2004
Papua New Guinea,5,1807,New Guinea-NE of,Manam,Stratovolcano,4,2004
Comoros,,2361,Indian O-W,Karthala,Shield volcano,,2005
El Salvador,2,2365,El Salvador,Santa Ana,Stratovolcano,3,2005
Papua New Guinea,1,1807,New Guinea-NE of,Manam,Stratovolcano,4,2005
Ecuador,1,5023,Ecuador,Tungurahua,Stratovolcano,3,2006
Ecuador,5,5023,Ecuador,Tungurahua,Stratovolcano,3,2006
Indonesia,2,2947,Java,Merapi,Stratovolcano,1,2006
Montserrat,,915,W Indies,Soufriere Hills,Stratovolcano,2,2006
New Zealand,1,516,Kermadec Is,Raoul Island,Stratovolcano,,2006
Philippines,1,1565,Luzon-Philippines,Bulusan,Stratovolcano,2,2006
Philippines,1266,2462,Luzon-Philippines,Mayon,Stratovolcano,1,2006
Colombia,,5365,Colombia,Huila,Stratovolcano,,2007
Indonesia,6,2211,Java,Salak,Stratovolcano,,2007
Papua New Guinea,4,1807,New Guinea-NE of,Manam,Stratovolcano,4,2007
Yemen,7,244,Red Sea,Tair Jebel at,Stratovolcano,,2007
Chile,1,962,Chile-S,Chaiten,Caldera,,2008
Colombia,10,5365,Colombia,Huila,Stratovolcano,,2008
Ecuador,2,5023,Ecuador,Tungurahua,Stratovolcano,3,2008
United States,,314,Aleutian Is,Kasatochi,Stratovolcano,3,2008
United States,,1222,Hawaiian Is,Kilauea,Shield volcano,,2009
United States,,3108,Alaska-SW,Redoubt,Stratovolcano,,2009
Ecuador,,5023,Ecuador,Tungurahua,Stratovolcano,3,2010
Ecuador,,5023,Ecuador,Tungurahua,Stratovolcano,3,2010
Guatemala,1,2552,Guatemala,Pacaya,Complex volcano,1,2010
Iceland,2,1666,Iceland-S,Eyjafjallajokull,Stratovolcano,2,2010
Indonesia,2,2460,Sumatra,Sinabung,Stratovolcano,,2010
Indonesia,4,1784,Sangihe Is-Indonesia,Karangetang [Api Siau],Stratovolcano,3,2010
Indonesia,367,2947,Java,Merapi,Stratovolcano,,2010
Indonesia,,2329,Java,Tengger Caldera,Stratovolcano,,2010
United States,,538,Mariana Is-C Pacific,Sarigan,Stratovolcano,,2010
Chile,,2236,Chile-C,Puyehue,Stratovolcano,4,2011
Ecuador,,5023,Ecuador,Tungurahua,Stratovolcano,4,2011
Eritrea,31,2218,Africa-NE,Nabro,Stratovolcano,3,2011
Iceland,,1512,Iceland-S,Katla,Subglacial volcano,,2011
Indonesia,1,1580,Sulawesi-Indonesia,Lokon-Empung,Stratovolcano,,2011
Indonesia,1,2947,Java,Merapi,Stratovolcano,,2011
Indonesia,4,1715,Halmahera-Indonesia,Gamalama,Stratovolcano,3,2011
Indonesia,,1784,Sangihe Is-Indonesia,Karangetang [Api Siau],Stratovolcano,,2011
Japan,,1700,Kyushu-Japan,Kirishima,Shield volcano,,2011
Philippines,1,1565,Luzon-Philippines,Bulusan,Stratovolcano,2,2011
Russia,,3682,Kamchatka,Tolbachik,Shield volcano,,2012
United States,,1222,Hawaiian Is,Kilauea,Shield volcano,,2012
United States,,1222,Hawaiian Is,Kilauea,Shield volcano,,2012
Indonesia,1,2947,Java,Merapi,Stratovolcano,,2013
Indonesia,5,875,Lesser Sunda Is,Paluweh,Stratovolcano,3,2013
Indonesia,,875,Lesser Sunda Is,Paluweh,Stratovolcano,,2013
Indonesia,,2460,Sumatra,Sinabung,Stratovolcano,2,2013
Japan,,1117,Kyushu-Japan,Sakura-jima,Stratovolcano,,2013
New Zealand,1,1111,New Zealand,Okataina,Lava dome,,2013
Peru,,5672,Peru,Ubinas,Stratovolcano,,2013
Philippines,5,2462,Luzon-Philippines,Mayon,Stratovolcano,,2013
Cape Verde,,2829,Cape Verde Is,Fogo,Stratovolcano,,2014
Indonesia,1,1715,Halmahera-Indonesia,Gamalama,Stratovolcano,,2014
Indonesia,7,1731,Java,Kelut,Stratovolcano,,2014
Indonesia,17,2460,Sumatra,Sinabung,Stratovolcano,,2014
Japan,55,3063,Honshu-Japan,On-take,Complex volcano,3,2014
United States,,1222,Hawaiian Is,Kilauea,Shield volcano,,2014
Chile,,2003,Chile-S,Calbuco,Stratovolcano,,2015
Indonesia,1,2460,Sumatra,Sinabung,Stratovolcano,,2015
Indonesia,,1784,Sangihe Is-Indonesia,Karangetang [Api Siau],Stratovolcano,,2015
Indonesia,,2460,Sumatra,Sinabung,Stratovolcano,,2015
New Zealand,1,1111,New Zealand,Okataina,Lava dome,,2015
Papua New Guinea,,1807,New Guinea-NE of,Manam,Stratovolcano,2,2015
Indonesia,1,2460,Sumatra,Sinabung,Stratovolcano,,2016
Indonesia,7,2460,Sumatra,Sinabung,Stratovolcano,,2016
Indonesia,,3726,Lesser Sunda Is,Rinjani,Stratovolcano,,2016
Japan,,1592,Kyushu-Japan,Aso,Caldera,,2016
United States,1,2805,US-Wyoming,Yellowstone,Caldera,,2016
Indonesia,8,2565,Java,Dieng Volc Complex,Complex volcano,,2017
Indonesia,,2460,Sumatra,Sinabung,Stratovolcano,2,2017
Italy,3,458,Italy,Campi Flegrei,Caldera,,2017
United States,1,1222,Hawaiian Is,Kilauea,Shield volcano,,2017
Vanuatu,,1496,Vanuatu-SW Pacific,Aoba,Shield volcano,,2017
